tVal2,tVal3,tVal4,tVal5,tVal6,tVal7,ax,ay,az,gx,gy,gz
1,1,0,0,1,1,-0.80,-0.00,-0.17,-1.03,-186.42,647.58,4
1,1,1,0,1,1,-1.09,0.10,-0.08,-8.86,-162.26,597.96,0
1,0,1,0,1,1,-1.19,0.04,0.01,-178.91,27.94,-730.71,0
1,1,1,0,1,1,-0.87,-0.09,-0.08,-248.31,-77.18,-1630.06,4
1,1,0,0,1,1,-0.65,-0.44,-0.18,-35.24,27.73,-270.52,4
1,1,0,0,1,1,-0.74,-0.32,-0.12,-35.08,261.06,1089.33,4
1,1,1,0,1,1,-1.03,-0.08,-0.13,-70.59,20.05,694.33,4
1,1,1,0,1,1,-0.87,0.02,-0.18,30.21,2.05,319.01,0
1,1,1,0,1,1,-0.88,0.36,0.11,110.59,-908.32,1504.98,0
1,0,1,1,1,1,-1.11,0.43,-0.02,189.29,-157.56,840.43,0
1,0,1,0,1,1,-0.85,0.47,-0.11,-206.91,598.45,-980.86,0
1,1,1,0,1,1,-0.78,0.36,-0.03,6.97,188.42,-1092.04,0
1,1,1,0,1,1,-1.22,-0.02,-0.08,-114.10,-338.95,-200.64,4
1,1,1,0,1,1,-1.11,-0.07,0.00,-178.53,373.87,-670.06,4
1,1,1,0,1,1,-0.53,-0.29,-0.22,-240.80,278.95,-1042.96,4
1,1,0,0,1,1,-0.74,-0.43,-0.20,67.13,-948.21,-25.35,4
1,1,1,0,1,1,-1.03,-0.32,0.05,36.92,407.54,694.87,4
1,1,1,0,1,1,-0.85,-0.16,-0.16,-272.41,804.00,601.53,4
1,1,0,0,1,1,-0.92,0.05,-0.60,-26.70,438.51,209.50,0
0,1,0,0,1,1,-0.82,0.03,-0.63,85.83,-350.09,9.24,0
0,1,0,0,1,1,-0.76,0.01,-0.25,81.29,-1771.13,134.75,0
1,1,1,1,1,1,-0.94,0.16,0.46,214.09,-1771.13,170.53,0
1,1,1,1,1,0,-0.79,0.01,0.71,-111.51,297.82,95.07,0
1,1,1,0,1,1,-0.75,0.06,0.37,-135.02,-462.29,-10.59,0
1,1,1,0,1,0,-0.67,0.09,0.67,-123.45,-177.29,-29.57,0
1,1,1,0,1,0,-0.80,-0.08,0.60,-515.26,722.49,-430.51,4
1,1,1,0,1,1,-0.76,-0.17,0.34,-676.06,750.49,-1044.74,4
1,1,1,0,1,1,-0.67,-0.39,0.08,71.29,-113.83,-49.73,4
1,1,1,0,1,1,-0.67,-0.12,0.35,742.55,-376.46,1240.19,4
1,1,1,0,1,0,-1.03,0.09,0.52,426.68,-104.59,1054.80,0
1,0,1,0,1,1,-0.97,0.18,0.33,-43.24,682.39,-115.78,0
1,1,1,0,1,1,-0.79,0.25,0.17,-172.15,463.05,-581.96,0
1,1,1,0,1,1,-0.94,0.00,0.10,-137.29,65.24,-258.52,0
1,1,1,0,1,1,-0.73,0.09,0.05,148.26,-678.12,83.45,0
1,1,1,1,1,1,-0.93,0.11,0.60,312.74,-1771.13,525.21,0
1,1,1,1,1,0,-0.52,0.14,0.77,-218.47,174.48,37.51,0
1,1,1,0,1,0,-0.79,0.05,0.61,-290.14,625.04,-433.11,0
1,1,1,0,1,1,-0.84,-0.02,0.49,-679.36,730.60,-1010.80,4
1,1,1,0,1,1,-0.70,-0.32,0.24,-219.66,142.42,-647.15,4
1,1,1,0,1,1,-0.54,-0.32,0.31,162.31,-220.15,153.99,4
1,1,1,0,1,1,-0.73,-0.29,0.58,287.60,-1099.50,795.89,0

1,1,1,1,1,0,-0.87,-0.31,0.73,-365.38,406.73,-215.18,0
1,1,1,0,1,0,-0.78,-0.13,0.44,-175.02,571.91,22.76,4
1,1,1,0,1,1,-0.71,-0.04,0.33,340.19,1030.69,1163.87,4
1,1,1,0,1,1,-0.91,0.09,0.14,261.55,67.46,463.75,0
1,1,1,0,1,1,-0.87,0.39,0.33,636.88,-492.67,799.89,0
1,0,1,1,1,1,-0.96,0.41,0.09,391.38,265.60,205.39,0
1,0,1,0,1,1,-0.84,0.42,0.19,-343.22,327.17,-602.99,0
1,1,1,0,1,1,-0.84,0.25,0.12,-856.43,276.31,-1618.22,0
1,1,1,0,1,1,-0.92,-0.23,0.14,-281.93,-204.04,-486.78,4
